article_id,article_text,source,topic
1,"Machine Leaning is the field of study that gives computers the capability to learn without being explicitly programmed.  ML is one of the most exciting technologies that one would have ever come across.  As it is evident from the name, it gives the computer that which makes it more similar to humans:The ability to learn.  Machine learning is actively being used today, perhaps in many more places than one would expect. ",https://www. geeksforgeeks. org/machine-learning/,Machine Learning
2,"Machine learning (ML) is the scientific study of algorithms and statistical models that computer systems use to effectively perform a specific task without using explicit instructions, relying on patterns and inference instead.  It is seen as a subset of artificial intelligence.  Machine learning algorithms build a mathematical model of sample data, known as  training data , in order to make predictions or decisions without being explicitly programmed to perform the task. Machine learning algorithms are used in the applications of email filtering, detection of network intruders, and computer vision, where it is infeasible to develop an algorithm of specific instructions for performing the task.  Machine learning is closely related to computational statistics, which focuses on making predictions using computers.  The study of mathematical optimization delivers methods, theory and application domains to the field of machine learning.  Data mining is a field of study within machine learning, and focuses on exploratory data analysis through unsupervised learning. In its application across business problems, machine learning is also referred to as predictive analytics. ",https://en. wikipedia. org/wiki/Machine_learning,Machine Learning
3,"Machine learning algorithms work by building a model from a training set.  A training set is a data set that is input into an algorithm where the correct outputs are already known.  The ML algorithm builds the model as it reads the training set, reading the next input, predicting the output, then checking its prediction to the actual output, and adjusting accordingly. Machine learning algorithms work by building a model from a†training set.  A training set is a data set that is input into an algorithm where the correct outputs are already known.  The ML algorithm builds the model as it reads the training set, reading the next input, predicting the output, then checking its prediction to the actual output, and adjusting accordingly. ",https://brilliant. org/wiki/machine-learning/,Machine Learning
4,Machine learning (ML) is a category of algorithm that allows software applications to become more accurate in predicting outcomes without being explicitly programmed.  The basic premise of machine learning is to build algorithms that can receive input data and use statistical analysis to predict an output while updating outputs as new data becomes available. ,https://searchenterpriseai. techtarget. com/definition/machine-learning-ML,Machine Learning
32,"Because of new computing technologies, machine learning today is not like machine learning of the past.  It was born from pattern recognition and the theory that computers can learn without being programmed to perform specific tasks; researchers interested in artificial intelligence wanted to see if computers could learn from data. The iterative aspect of machine learning is important because as models are exposed to new data, they are able to independently adapt.  They learn from previous computations to produce reliable, repeatable decisions and results.  Itís a science thatís not new but one that has gained fresh momentum. ",https://www. sas. com/en_in/insights/analytics/machine-learning. html,Machine Learning
5,"Machine learning is an application of artificial intelligence (AI) that provides systems the ability to automatically learn and improve from experience without being explicitly programmed.  Machine learning focuses on the development of computer programs that can access data and use it learn for themselves. The process of learning begins with observations or data, such as examples, direct experience, or instruction, in order to look for patterns in data and make better decisions in the future based on the examples that we provide.  The primary aim is to allow the computers learn automatically without human intervention or assistance and adjust actions accordingly. ",https://www. expertsystem. com/machine-learning-definition/,Machine Learning
33,Machine learning is a data analytics technique that teaches computers to do what comes naturally to humans and animals: learn from experience.  Machine learning algorithms use computational methods to ìlearnî information directly from data without relying on a predetermined equation as a model.  The algorithms adaptively improve their performance as the number of samples available for learning increases. Deep learning is a specialized form of machine learning. ,https://www. mathworks. com/discovery/machine-learning. html,Machine Learning
34,"Machine learning is an artificial intelligence (AI) discipline geared toward the technological development of human knowledge.  Machine learning allows computers to handle new situations via analysis, self-training, observation and experience. ",https://www. techopedia. com/definition/8181/machine-learning,Machine Learning
35,"Machine learning facilitates the continuous advancement of computing through exposure to new scenarios,testing and adaptation, while employing pattern and trend detection for improved decisions in subsequent (though not identical) situations. ",http://www. hiddime. com/site/machine_learning. html,Machine Learning
36,"Machine learning is enabling computers to tackle tasks that have, until now, only been carried out by people. At a very high level, machine learning is the process of teaching a computer system how to make accurate predictions when fed data.  The key difference from traditional computer software is that a human developer hasn't written code that instructs the system how to tell the difference between the banana and the apple. ",https://www. zdnet. com/article/what-is-machine-learning-everything-you-need-to-know/,Machine Learning
38,"On behalf of our customers, we are focused on solving some of the toughest challenges that hold back machine learning from being in the hands of every developer. ",https://aws. amazon. com/machine-learning/,Machine Learning
37,"Machine Learning (ML) is coming into its own, with a growing recognition that ML can play a key role in a wide range of critical applications, such as data mining, natural language processing, image recognition, and expert systems.  ML provides potential solutions in all these domains and more, and is set to be a pillar of our future civilization",https://www. toptal. com/machine-learning/machine-learning-theory-an-introductory-primer,Machine Learning
39,"You can choose from pre-trained AI services for computer vision, language, recommendations, and forecasting; Amazon SageMaker to quickly build, train and deploy machine learning models at scale; or build custom models with support for all the popular open-source frameworks. ",https://aws. amazon. com/machine-learning/,Machine Learning
6,"In computer science, artificial intelligence (AI), sometimes called machine intelligence, is intelligence demonstrated by machines, in contrast to the natural intelligence displayed by humans and other animals.  Computer science defines AI research as the study of  intelligent agents : any device that perceives its environment and takes actions that maximize its chance of successfully achieving its goals.  More specifically, Kaplan and Haenlein define AI as “a system’s ability to correctly interpret external data, to learn from such data, and to use those learnings to achieve specific goals and tasks through flexible adaptation”.  Colloquially, the term  artificial intelligence  is used to describe machines that mimic  cognitive  functions that humans associate with other human minds, such as  learning  and  problem solving .  As machines become increasingly capable, tasks considered to require  intelligence  are often removed from the definition of AI, a phenomenon known as the AI effect.  A quip in Tesler's Theorem says  AI is whatever hasn't been done yet.   For instance, optical character recognition is frequently excluded from things considered to be AI, having become a routine technology.  Modern machine capabilities generally classified as AI include successfully understanding human speech, competing at the highest level in strategic game systems (such as chess and Go), autonomously operating cars, and intelligent routing in content delivery networks and military simulations. ",https://en. wikipedia. org/wiki/Artificial_intelligence,Artificial Intelligence
7,"Artificial intelligence is a branch of computer science that aims to create intelligent machines.  It has become an essential part of the technology industry.  Knowledge engineering is a core part of AI research.  Machines can often act and react like humans only if they have abundant information relating to the world.  Artificial intelligence must have access to objects, categories, properties and relations between all of them to implement knowledge engineering.  Initiating common sense, reasoning and problem-solving power in machines is a difficult and tedious task. Machine learning is also a core part of AI.  Learning without any kind of supervision requires an ability to identify patterns in streams of inputs, whereas learning with adequate supervision involves classification and numerical regressions.  Classification determines the category an object belongs to and regression deals with obtaining a set of numerical input or output examples, thereby discovering functions enabling the generation of suitable outputs from respective inputs.  Mathematical analysis of machine learning algorithms and their performance is a well-defined branch of theoretical computer science often referred to as computational learning theory. ",https://www. techopedia. com/definition/190/artificial-intelligence-ai,Artificial Intelligence
8,"Artificial intelligence (AI) is the simulation of human intelligence processes by machines, especially computer systems.  These processes include learning (the acquisition of information and rules for using the information), reasoning (using rules to reach approximate or definite conclusions) and self-correction.  Particular applications of AI include expert systems, speech recognition and machine vision.  AI can be categorized as either weak or strong.  Weak AI, also known as narrow AI, is an AI system that is designed and trained for a particular task.  Virtual personal assistants, such as Apple's Siri, are a form of weak AI.  Strong AI, also known as artificial general intelligence, is an AI system with generalized human cognitive abilities.  When presented with an unfamiliar task, a strong AI system is able to find a solution without human intervention. ",https://searchenterpriseai. techtarget. com/definition/AI-Artificial-Intelligence,Artificial Intelligence
9,"According to the father of Artificial Intelligence, John McCarthy, it is “The science and engineering of making intelligent machines, especially intelligent computer programs”. Artificial Intelligence is a way of making a computer, a computer-controlled robot, or a software think intelligently, in the similar manner the intelligent humans think. AI is accomplished by studying how human brain thinks, and how humans learn, decide, and work while trying to solve a problem, and then using the outcomes of this study as a basis of developing intelligent software and systems. ",https://www. tutorialspoint. com/artificial_intelligence/artificial_intelligence_overview. htm,Artificial Intelligence
10,"Artificial intelligence (AI), the ability of a digital computer or computer-controlled robot to perform tasks commonly associated with intelligent beings.  The term is frequently applied to the project of developing systems endowed with the intellectual processes characteristic of humans, such as the ability to reason, discover meaning, generalize, or learn from past experience.  Since the development of the digital computer in the 1940s, it has been demonstrated that computers can be programmed to carry out very complex tasks—as, for example, discovering proofs for mathematical theorems or playing chess—with great proficiency.  Still, despite continuing advances in computer processing speed and memory capacity, there are as yet no programs that can match human flexibility over wider domains or in tasks requiring much everyday knowledge.  On the other hand, some programs have attained the performance levels of human experts and professionals in performing certain specific tasks, so that artificial intelligence in this limited sense is found in applications as diverse as medical diagnosis, computer search engines, and voice or handwriting recognition. ",https://www. britannica. com/technology/artificial-intelligence,Artificial Intelligence
11,Artificial intelligence refers to the simulation of human intelligence in machines which are programmed to think like humans and mimic their actions.  The term may also be applied to any machine that exhibits traits associated with a human mind such as learning and problem solving. ,https://www. investopedia. com/terms/a/artificial-intelligence-ai. asp,Artificial Intelligence
